metaphor,source_frame,target_frame
A SEQUENCE OF ACTIONS IS A SEQUENCE OF MOVEMENTS,Motion along a path,Action
A SEQUENCE OF VIOLENT EVENTS IS A FLUID,Fluid motion,Violence
ABILITY TO ACT IS ABILITY TO MOVE,Self propelled motion,Ability to act
ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,Seeing,Citizen evaluation of government
ABILITY TO EVALUATE IS ABILITY TO SEE,Seeing,Evaluation
ABILITY TO KNOW IS ABILITY TO SEE,Seeing,Knowing
ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES,Bully,State leadership
ACCEPTING IS SWALLOWING,Eating,Accepting
ACCESS TO EDUCATION IS A HORSERACE,Race,Education
ACCESS TO EDUCATION IS ACCESS TO AN OBJECT,Access to an object,Access to education
ACCESS TO KNOWLEDGE IS ACCESS TO AN OBJECT,Access to an object,Access to knowledge
ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,Gain possession,Purposeful action
ACHIEVING A PURPOSE IS GETTING SOMETHING TO EAT,Eating,Purposeful action
ACHIEVING A PURPOSE IS REACHING A DESTINATION,Motion to a location,Purposeful action
ACHIEVING GUN RIGHTS IS REACHING A DESTINATION,Motion to a location,Gun rights
ACHIEVING POWER IS MOVING UPWARDS,Upward motion,Power
ACQUIRING IDEAS IS EATING,Eating,Thinking about
ACQUIRING RESOURCE IS CONSUMING FOOD,Eating,Resource consumption
ACTION IS BEING IN A LOCATION,Being at a location,Action
ACTION IS MOTION,Motion,Action
ACTION IS MOTION ALONG A PATH,Motion along a path,Action
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,Self propelled motion,Action
ACTIVATING IS AWAKENING,Awakening,Activating
ACTIVITIES ARE BOUNDED REGIONS IN SPACE,Bounded region,Activity
ACTIVITIES ARE JOURNEYS,Journey,Activity
ADDRESSING CRIME IS CONTROLLING AN ANIMAL,Animal,Crime
ADDRESSING ECONOMIC PROBLEMS IS TREATING AN ILLNESS,Treating a physical affliction,Addressing social problems
ADDRESSING GUN VIOLENCE IS WAGING WAR,War,Injurious gun use
ADDRESSING INSTITUTIONAL PROBLEMS IS TREATING AN ILLNESS,,
ADDRESSING POVERTY IS TREATING AN ILLNESS,Treating a physical affliction,Addressing poverty
ADDRESSING POVERTY IS WAGING WAR,Physical combat,Addressing poverty
ADDRESSING SOCIAL PROBLEMS IS TREATING A PHYSICAL AFFLICTION,Treating a physical affliction,Addressing social problems
ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS,Treating a physical affliction,Addressing social problems
ADDRESSING SOCIAL PROBLEMS IS WAGING WAR,War,Addressing social problems
ADVOCACY IS PHYSICAL COMBAT,Physical combat,Advocacy
ADVOCACY IS PHYSICAL HARM,,
ADVOCATING GUN CONTROL IS INSANITY,Insanity,Gun control
ADVOCATING GUN CONTROL IS ZEALOTRY,Zealotry,Gun control
AFFECTION IS WARMTH,Warmth,Affectionate action
AGREEMENT IS PHYSICAL INTEGRITY,physical integrity,agreement
AGREEMENT IS PHYSICAL PROXIMITY,Proximity,Agreement
AID TO KNOWING IS A LIGHT SOURCE,Seeing,Knowing
AIDS TO ACHIEVING A PURPOSE ARE AIDS TO REACHING A DESTINATION,Aids to motion,Aids to action
AIDS TO ACHIEVING A PURPOSE ARE TICKETS TO A DESTINATION,Ticket,Aids to action
AIDS TO IMPROVING ECONOMIC STATUS ARE TICKETS TO A DESTINATION,Ticket,Aids to action
AIDS TO IMPROVING ECONOMIC STATUS IS AID TO UPWARD MOTION,Aid to upward motion,Improving economic status
AIDS TO USING EDUCATIONAL OPPORTUNITIES ARE AIDS TO ACCESSING LOCATIONS ALONG A PATH,Clear paths to accessing a location,Educational opportunities
ALLIANCES ARE FRIENDSHIPS,Friendship,Alliances
ALTERNATIVE LEGISLATION IS ALTERNATIVE PATH,Motion along a path,Legislation enactment
ALTERNATIVE UNDERSTANDINGS OF AN EVENT ARE SIDES OF AN OBJECT,,
ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS,Source path goal,Decision making
AMOUNT OF GUN VIOLENCE IS A FLUID,Fluid motion,Injurious gun use
AMOUNT OF GUNS IS A FLUID,Fluid motion,Personal weapon
AMOUNT OF LEARNED CONTENT IS QUANTITY OF RESOURCE,Resource,Knowledge
AMOUNT OF POVERTY IS SIZE,Size,Poverty
AMOUNT OF POVERTY IS SIZE OF GEOGRAPHIC FEATURE,Geographic feature,Poverty
AMOUNT OF PROBLEM IS SIZE,Size,Problem
AMOUNT OF PROGRESS IS AMOUNT OF DISTANCE MOVED,Motion to a location,Purposeful action
AMOUNT OF PROGRESS TOWARD ENACTING LEGISLATION IS DISTANCE MOVED ALONG A PATH,Motion along a path,Legislation enactment
AMOUNT OF RESOURCE IS BODY WEIGHT,Body weight,Resource
AMOUNT OF STATE IS SIZE OF OBJECT,Size,State
ANALYSIS OF SOCIAL PROBLEMS IS DIAGNOSIS OF AFFLICTION,Diagnosis of affliction,Social problems
ANALYZING IDEAS IS TAKING APART OBJECTS,,
ANALYZING IS DISSECTING,Dissect,Analysis
ANGER IS FIRE,Fire,Anger
ANGER IS HEAT,Heat,Anger
ANGER IS INSANITY,Insanity,Anger
ANGER IS PRESSURE IN A CONTAINER,Pressure in a container,Anger
ANGER IS THE HEAT OF FLUID IN A CONTAINER,Heating fluid,Anger
ARGUING WITH THEORETIC ASSUMPTIONS IS ATTACKING FOUNDATION OF A BUILDING,,
ARGUMENT IS A COMPETITION,,
ARGUMENT IS PHYSICAL COMBAT,Physical combat,Argument
ARGUMENT IS WAR,War,Argument
ARITHMETIC IS OBJECT COLLECTION,Object collection,Arithmetic
ARITHMETIC IS OBJECT CONSTRUCTION,Object construction,Arithmetic
ASSESSING IS MEASURING,Measuring,Evaluation
ASSISTANCE IS SUPPORT,Support,Assistance
ASSOCIATION IS CONNECTION,Physical connection,Association
ATTAINING CONTROL IS GAINING A POSSESSION,Gain possession,Control
ATTRIBUTES ARE ENTITIES,Entity,Attribute
ATTRIBUTES ARE POSSESSIONS,Possession,Attribute
ATTRIBUTES OF GOVERNMENT ARE POSSESSIONS,TBD,TBD
AUGMENTING ECONOMIC ASSETS IS CREATING OBJECTS,Create object,Economic resource
BAD IS DOWN,,
BAD IS STINKY,Smelly,Badness
BECOMING AWARE IS NOTICING,Noticing,Becoming aware
BECOMING IMPOVERISHED IS MOVING DOWNWARDS,Downward motion,Impoverished
BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION,Being at a location,Life cycle
BEING GOOD IS BEING UPRIGHT,Upright posture,Moral goodness
BEING IMMORAL IS BEING LOW,Verticality,Morality
BEING IMPOVERISHED IS BEING AT A LOW LOCATION,Being at a Low Location,Impoverished
BEING IMPOVERISHED IS BEING IN A BOUNDED REGION,Being in a Bounded Region,Impoverished
BEING IN A HIGH SOCIAL CLASS IS BEING HIGH ON A SCALE,Being high on a scale,Social class
BEING IN A LOW SOCIAL CLASS IS BEING LOW ON A SCALE,Being low on a scale,Social class
BEING IN A MIDDLE CLASS IS BEING IN THE MIDDLE OF A SCALE,Being in the middle of a scale,Social class
BEING IN A STATE IS BEING AT A POINT ON A LINEAR SCALE,Scale,Experiencing_a_state
BEING POISED TO KNOW IS BEING POSITIONED TO SEE WELL,Seeing,Knowing
BEING RECEPTIVE IS HEARING,Hearing,Being receptive
BEING TAXED IS CRIME,Crime,Taxation
BEING WEALTHY IS BEING AT A HIGH LOCATION,Being at a High Location,Wealth
BEING WEALTHY IS BEING FREE,Lack of impediment to motion,Wealth
BELIEFS ARE POSSESSIONS,Possession,Belief
BENEFIT IS A RESOURCE,Resource,Benefit
BODY IS A CONTAINER FOR EMOTIONS,Containing,Emotion
BUREAUCRACY IS A MACHINE,Machine,Bureaucracy
BUREAUCRACY IS A MAZE,Maze,Bureaucracy
BUREAUCRACY IS AN OCTOPUS,Fierce animal,Bureaucracy
BUREAUCRACY IS MANUFACTURING,Factory,Bureaucracy
BUREAUCRATS ARE GUIDES,TBD,TBD
BUREAUCRATS ARE MACHINE PARTS,Machine,Bureaucracy
BUREAUCRATS ARE TYRANTS,TBD,TBD
BUSINESS COMPETITION IS COMPETITIVE SPORTS,Competitive sport,Economic competition
BUSINESSES ARE ENTITIES,Business,Entity
BUSINESSES ARE LIVING ENTITIES,Animate entity,Business
BUSINESSES ARE PEOPLE,Person,Business
CANCER IS A JOURNEY,Journey,Cancer
CANCER IS PHYSICAL COMBAT,Physical combat,Cancer
CANCER PATIENT IS PHYSICAL COMBATANT,Physical combat,Cancer patient
CANCER TREATMENT IS GAMBLING,Gambling,Cancer treatment
CANCER TREATMENT IS WAR,War,Cancer treatment
CAREER IS A BUILDING,Building,Career
CAREER IS A COMPLEX STRUCTURE,Complex physical object,Career
CARING IS WARMTH,Warmth,Caring
CATEGORIES ARE BOUNDED REGIONS,Bounded region,Category
CAUSATION IS AGENTIVE CAUSATION,Agentive causation,Causation
CAUSATION IS FORCED MOVEMENT,Forced motion,Caused change of state
CAUSATION IS OBJECT TRANSFER,Transfer scenario,Causation
CAUSE INCREASE IN QUANTITY IS CAUSE UPWARD MOTION,Caused upward motion,Quantity
CAUSE OF DECREASED EVALUABILITY OF GOVERNMENT IS OBSTACLE TO VISION,TBD,TBD
CAUSED CHANGE OF STATE IS CAUSED CHANGE OF LOCATION,Forced motion,Caused change of state
CAUSED IMPOVERISHMENT IS CAUSED DOWNWARD MOTION,Caused downward motion,Poverty
CAUSED IMPROVED ECONOMIC STATUS IS CAUSED UPWARD MOTION,Caused upward motion,Improving economic status
CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH,Motion along a path,Action
CAUSES ARE FORCES,Force,Causation
CAUSING DECREASE IN CRIME IS TREATING DISEASE,Disease treatment,Crime
CAUSING ECONOMIC HARDSHIP IS CAUSING PHYSICAL HARM,Harm to living entity,Economic difficulty
CAUSING GREATER INTENSITY OF POLITICAL UNREST IS FANNING THE FLAMES,TBD,TBD
CAUSING TO EXIST IS OBJECT CREATION,Create object,Cause to begin existence
CENSORSHIP IS PHYSICAL RESTRAINING OF MOUTH,Stop airflow,Censorship
CERTAIN IS FIRM,Firmness,Certainty
CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION,Transfer scenario,Control
CHANGE IN MOOD IS VERTICAL MOVEMENT,Motion along a path,Emotion
CHANGE IS ACQUISITION,Gain possession,Change of state
CHANGE IS LOSS,Lose possession,Change of state
CHANGE OF STATE IS CHANGE OF LOCATION,Motion along a path,Change of state
CHANGE OF STATE IS CHANGE OF POSSESSION,Possession change,Change of state
CHOOSING AN ALTERNATIVE IS CHOOSING ONE AVAILABLE PATH,,
CIRCUMSTANCES ARE SURROUNDINGS,Bounded region,Circumstances
CIRCUMSTANCES ARE WEATHER,Weather,Circumstances
CITIZEN RIGHTS ARE PHYSICAL STRUCTURES,Physical structure,Rights
CITIZEN RIGHTS ARE POSSESSIONS,Possession,Rights
CITIZEN RIGHTS ARE SHIELDS FROM HARM,Protecting,Citizen rights
CITIZEN RIGHTS ARE TERRITORIES,Territory,Rights
CITIZENS ARE EMPLOYERS,Business,Nation
CITIZENS ARE EYES AND EARS,Person,Government
CITIZENS ARE SLAVES,Servitude,Nation
CITIZENS ARE STOCKHOLDERS,Stockholders,Citizens
CLASS INTERACTION IS PHYSICAL COMBAT,Physical combat,Social class
COGNITIVE AVERSION IS PHYSICAL DISGUST,Disgust,Idea
COGNIZING IS BODILY FUNCTIONING,Cognizing,Bodily functioning
COGNIZING IS EATING,Eating,Cognizing
COMMUNICATING IS DRAWING A PICTURE,Draw a picture,Communication
COMMUNICATING IS FEEDING,Feeding,Communication
COMMUNICATING IS GUIDING,Guided motion,Communication
COMMUNICATING IS OBJECT TRANSFER,Transfer scenario,Communication
COMMUNICATING IS POINTING,Cause_to_perceive,Communication
COMMUNICATING IS SHOWING,Cause to see,Communication
COMMUNITY IS A FAMILY,Family,Community
COMPANY IS A COMPLEX STRUCTURE,Complex physical object,Company
COMPANY IS A FAMILY,Family,Company
COMPETITION IS A RACE,Race,Competition
COMPLEX IDEAS ARE SENTENCES,Sentence,Idea
COMPULSION IS A COMPELLING FORCE,Force,Compulsion
COMPUTERS ARE PEOPLE,Person,Computer
CONDITION IS SHAPE,Object,Condition
CONFUSING SETS OF REGULATIONS ARE MAZES,TBD,TBD
CONSCIOUS IS UP,Verticality,Consciousness
CONSCIOUSNESS IS VERTICALITY,Verticality,Consciousness
CONSIDERING IS CHEWING,,
CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME,Card game,Gun rights
CONSTITUENTS ARE CONTENTS,Contents,Constituents
CONSUMING RESOURCES IS EATING,Eating,Resource consumption
CONSUMING TOO MANY RESOURCES IS EATING TOO MUCH FOOD,Overeating,Resource consumption
CONTROL IS A BOUNDED REGION,Bounded region,Control
CONTROL IS A POSSESSION,Possession,Control
CONTROL IS OBJECT MANIPULATION,Object manipulation,Control
CONTROL IS PHYSICAL RESTRAINT,Object manipulation,Control
CONTROL IS UP,Verticality,Control
CONTROL IS VERTICALITY,Verticality,Control
COOPERATIVE NATIONS ARE GOOD CITIZENS,Citizens,Nation
COOPERATIVE NEARBY COUNTRIES ARE GOOD NEIGHBORS,TBD,TBD
CORRECTING CORRUPTION IS TREATING DISEASE,TBD,TBD
CORRUPTION EFFECT IS DISEASE EFFECT,Disease,Corruption
CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS,Destructive natural process,Corruption
CORRUPTION IS A DISEASE,Disease,Corruption
CORRUPTION IS A TERMITE INFESTATION,Parasite,Corruption
CORRUPTION IS DECAY,Decay,Corruption
CORRUPTION IS EROSION,Erosion,Corruption
CORRUPTION.SCALE IS DISEASE.SCALE,Disease,Corruption
COUNTRY IS A CHILD,Family,Country
COURSE OF A LIFE IS THE PATH TRACED BY A SEQUENCE OF MOTIONS,,
CREATING A LAW IS GROWING A PLANT,Tending to plants,Law
CREATING IS MAKING,Making,Creating
CRIME IS A DISEASE,Disease,Crime
CRIME IS AN ANIMAL,Fierce animal,Crime
CRIME.SCALE IS DISEASE.SCALE,Disease,Crime
CRITICIZING IS ATTACKING,Attacking,Criticizing
CRITICIZING OTHER CLASSES IS ATTACKING OTHER CLASSES,Attacking,Social class
CURRICULUM IS A FIXED PATH,Motion along a path,Curriculum
CURRICULUM IS BOUNDED REGION,Bounded region,Curriculum
DEALING WITH RIGHTS IS COMPETITION,,
DEBATING IS ONE-ON-ONE PHYSICAL FIGHTING,Physical combat,Debating
DEBT IS A BURDEN,Burden,Debt
DEBT IS AN ORGANISM,Biological entity,Debt
DEBT IS PHYSICAL IMPEDIMENTS TO MOTION,Motion impediments,Debt
DECREASE IN QUANTITY IS DOWNWARD MOTION,Downward motion,Quantity
DECREASING TAXATION IS LIBERATING FROM PHYSICAL RESTRAINTS,TBD,TBD
DECREASING TAXATION IS RELIEF FROM BURDEN,TBD,TBD
DECREASING WELL-BEING IS DECREASING WEALTH,,
DEGREE IS DISTANCE ALONG A PATH,Differences in distance,Degree
DEGREE OF MORALITY IS PHYSICAL HEIGHT,Verticality,Morality
DEGREE OF SIMILARITY IS DEGREE OF PROXIMITY,Proximity,Similarity
DEGREE OF WEALTH DISTRIBUTION IS CONCENTRATION,Concentration,Wealth distribution
DEMOCRACY IS A BIRD,Bird,Democracy
DEMOCRACY IS A FACADE,Visual obstruction,Democracy
DEMOCRACY IS A PHYSICAL ENTITY,,
DEMOCRACY IS A PLANT,Plants,Democratic ideology
DEMOCRACY IS A TOWN MEETING,Meeting,Democracy
DEMOCRACY IS AN EQUAL PARTNERSHIP,Partnership,Democracy
DEMOCRATIC DECISION-MAKING IS PARTNERSHIP DECISION-MAKING,Relationship,Democracy
DEMOCRATIC IDEOLOGY IS A COMMODITY,Commodity,Democratic ideology
DESIRE IS FIRE,Fire,Desire
DESIRE IS HUNGER,Hunger,Desire
DEVELOPING AN ATTRIBUTE IS CULTIVATION,Cultivation,TBD
DIFFERENCES BETWEEN STATES IS DISTANCES BETWEEN LOCATIONS,Distances between locations,Differences in state
DIFFERENCES IN SUCCESS ARE DISTANCES BETWEEN LOCATIONS,Distances between locations,Differences in state
DIFFERENCES IN WEALTH IS DIFFERENCES IN DISTANCE,Differences in distance,Financial resource
DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION,Self propelled motion to a destination,Purposeful action
DIFFERING IDEOLOGIES ARE ADVERSARIES,Physical combat,Ideology
DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,Motion impediments,Difficulties in action
DIFFICULTIES IN A ROMANTIC RELATIONSHIP ARE IMPEDIMENTS TO MOTION ALONG A PATH,Motion impediment,Romantic relationship
DIFFICULTIES IN ACTION ARE PHYSICAL BURDENS,Burden,Difficulties in action
DIFFICULTIES IN KNOWING ARE VISUAL OBSTRUCTIONS,Visual obstruction,Knowing
DIFFICULTIES IN PROGRESSING THROUGH LIFE ARE IMPEDIMENTS TO MOTION ALONG A PATH,Motion along a path,Life
DIFFICULTY IS HARDNESS,Firmness,Difficulties in action
DIFFICULTY IS HEAVINESS,Weight,Difficulties in action
DIFFICULTY IS PHYSICAL STRUGGLE,Physical combat,Difficulties in action
DIFFICULTY OF CORRECTING CORRUPTION IS DIFFICULTY OF TREATING DISEASE,TBD,TBD
DIMINISHMENT OF POWER IS MOVING DOWNWARDS,TBD,TBD
DIPLOMACY IS WAR,War,Diplomacy
DIRECT CAUSATION IS DIRECT APPLICATION OF FORCE,,
DISAGREEMENT IS DIVISION,Separation,Argument
DISEASE TREATMENT IS WAR,War,Disease treatment
DISEASES ARE BURDENS,Burden,Disease
DISTINGUISHING IS DIVIDING,Dividing,Distinguishing
DISTURBING IDEAS ARE DISGUSTING FOODS,Food,Idea
DOING EVIL IS FALLING,Downward motion,Evil
DYING IS DEPARTING FROM THIS LOCATION,,
EASE OF ACTION IS EASE OF MOTION ALONG A PATH,Motion along a path,Action
ECONOMIC HARDSHIP IS PHYSICAL HARM,Physical harm,Economic difficulty
ECONOMIC RESOURCE IS A LIMITED NATURAL RESOURCE,Natural resource,Economic resource
ECONOMIC RESOURCES ARE PHYSICAL ENTITIES,Physical entity,Economic resource
ECONOMIC STATUS IS A POINT ON A SCALE,Scale,Economic status
ECONOMY IS A BODY,Body,Economy
ECONOMY IS A COMPLEX STRUCTURE,Complex physical object,Economy
ECONOMY IS A MACHINE,Machine,Economy
EDUCATION IS A RESOURCE,Resource,Education
EDUCATION IS AN OBJECT,Object,Education
EDUCATION IS COMPONENT OF BUILDING,Component of building,Education
EDUCATIONAL EVALUATION IS GAMBLING,Gambling,Educational evaluation
EDUCATIONAL OPPORTUNITIES ARE LOCATIONS ALONG A PATH,,
EFFECTIVE GOVERNMENT INSTITUTION IS A HEALTHY BODY,Body,Government institution
EFFECTIVE GOVERNMENT INSTITUTION IS A STRONG BUILDING,Building,Government institution
EFFECTIVE GOVERNMENT INSTITUTION IS A WELL-FUNCTIONING MACHINE,Machine,Government institution
EFFECTIVE GOVERNMENT IS A WELL-MANAGED BUSINESS,Business,Government institution
EFFECTS ARE TRANSFERRED OBJECTS,Transfer scenario,Causation
EFFICIENT GOVERNMENT IS A LEAN BODY,Body,Government institution
ELECTION IS A BOXING MATCH,Physical competition,Election
ELECTION IS A GAME,Game,Election
ELECTION IS A RACE,Race,Election
ELECTION IS WAR,War,Election
ELECTIONS ARE COMPETITIVE SPORTS EVENTS,Competitive sport,Election
ELIMINATING SOCIAL PROBLEMS IS SUCCESSFULLY TREATING A PHYSICAL AFFLICTION,,
EMBARRASSMENT IS A THIEF,Theft,Embarrassment
EMOTION IS A FORCE,Force,Emotion
